test_number,time,frozen_counter,total_time
76,05/05/2021 13:57:27,153,349.59999999998996
77,05/05/2021 13:58:19,209,663.9999999999793
78,05/05/2021 13:59:09,178,303.3999999999919
79,05/05/2021 14:00:00,108,294.79999999999205
80,05/05/2021 14:00:52,197,376.1999999999901
81,05/05/2021 14:01:43,152,322.99999999999136
82,05/05/2021 14:02:34,114,293.59999999999343
83,05/05/2021 14:03:25,195,727.5999999999788
84,05/05/2021 14:04:16,205,358.5999999999899
85,05/05/2021 14:05:07,133,231.39999999999057
86,05/05/2021 14:05:58,212,454.3999999999864
87,05/05/2021 14:06:49,153,355.9999999999891
88,05/05/2021 14:07:40,228,649.7999999999804
89,05/05/2021 14:08:32,187,426.99999999998863
90,05/05/2021 14:09:23,135,291.3999999999922
91,05/05/2021 14:10:14,190,316.59999999999263
92,05/05/2021 14:11:06,166,458.39999999998327
93,05/05/2021 14:11:58,153,317.59999999999104
94,05/05/2021 14:12:49,133,328.7999999999896
95,05/05/2021 14:13:39,255,594.7999999999807
96,05/05/2021 14:14:30,140,326.39999999999134
97,05/05/2021 14:15:21,245,570.1999999999803
98,05/05/2021 14:16:12,205,362.9999999999887
99,05/05/2021 14:17:03,239,461.39999999998463
100,05/05/2021 14:17:54,213,357.7999999999889
101,05/05/2021 14:18:45,126,271.19999999998987
102,05/05/2021 14:34:17,245,688.5999999999799
103,05/05/2021 14:35:09,199,366.7999999999904
104,05/05/2021 14:36:01,146,385.19999999998805
105,05/05/2021 14:36:53,129,329.5999999999907
106,05/05/2021 14:37:47,200,364.3999999999909
107,05/05/2021 14:38:39,200,674.1999999999808
108,05/05/2021 14:39:30,162,328.9999999999916
109,05/05/2021 14:40:22,185,381.5999999999886
110,05/05/2021 14:41:16,221,574.3999999999818
111,05/05/2021 14:42:09,121,309.3999999999912
112,05/05/2021 14:43:02,119,285.5999999999915
113,05/05/2021 14:43:55,144,335.59999999999314
114,05/05/2021 14:44:48,132,281.79999999999245
115,05/05/2021 14:45:39,182,396.19999999998777
116,05/05/2021 14:46:33,158,243.59999999999621
117,05/05/2021 14:47:26,202,366.79999999998955
118,05/05/2021 14:48:20,123,310.1999999999925
119,05/05/2021 14:49:11,161,271.9999999999933
120,05/05/2021 14:50:04,170,367.39999999999054
121,05/05/2021 14:50:55,201,263.3999999999932
122,05/05/2021 14:51:47,196,456.3999999999852
123,05/05/2021 14:52:38,152,338.9999999999904
124,05/05/2021 14:53:30,167,334.9999999999906
125,05/05/2021 14:54:21,197,316.1999999999924
126,05/05/2021 14:55:13,207,460.5999999999862
127,05/05/2021 14:56:04,160,315.5999999999909
128,05/05/2021 14:56:57,164,391.1999999999888
129,05/05/2021 14:57:49,156,367.7999999999882
130,05/05/2021 14:58:40,154,368.9999999999883
131,05/05/2021 14:59:33,144,293.9999999999923
132,05/05/2021 15:00:25,181,377.5999999999886
133,05/05/2021 15:01:18,143,277.39999999999236
134,05/05/2021 15:02:12,234,722.3999999999794
135,05/05/2021 15:03:03,139,344.79999999999063
136,05/05/2021 15:03:57,228,712.1999999999796
137,05/05/2021 15:04:51,126,298.9999999999917
138,05/05/2021 15:05:43,173,356.79999999999063
139,05/05/2021 15:06:35,193,443.19999999998794
140,05/05/2021 15:07:28,209,624.3999999999801
141,05/05/2021 15:08:22,170,409.19999999998794
142,05/05/2021 15:09:15,205,649.9999999999793
143,05/05/2021 15:10:06,187,381.1999999999881
144,05/05/2021 15:10:57,229,430.7999999999891
145,05/05/2021 15:11:49,128,286.19999999999135
146,05/05/2021 15:12:41,151,329.79999999999006
147,05/05/2021 15:13:32,184,389.3999999999905
148,05/05/2021 15:14:25,195,376.799999999989
149,05/05/2021 15:15:18,201,321.19999999999186
150,05/05/2021 15:16:10,202,369.99999999998755
151,05/05/2021 15:17:01,152,399.99999999998687
152,05/05/2021 15:17:54,137,312.399999999992
153,05/05/2021 15:18:47,160,363.59999999998956
154,05/05/2021 15:19:40,190,627.9999999999832
155,05/05/2021 15:20:32,238,682.7999999999791
156,05/05/2021 15:21:25,205,682.79999999998
157,05/05/2021 15:22:18,123,261.9999999999937
158,05/05/2021 15:23:11,177,373.59999999998826
159,05/05/2021 15:24:05,139,327.79999999999103
160,05/05/2021 15:24:58,135,346.7999999999913
161,05/05/2021 15:25:52,176,382.5999999999902
162,05/05/2021 15:26:44,169,323.3999999999906
163,05/05/2021 15:27:37,170,423.1999999999869
164,05/05/2021 15:28:29,191,407.7999999999882
165,05/05/2021 15:29:21,140,134.79999999999615
166,05/05/2021 15:30:12,198,413.5999999999877
167,05/05/2021 15:31:04,112,283.79999999999393
168,05/05/2021 15:31:56,125,331.59999999999184
169,05/05/2021 15:32:49,138,323.5999999999915
170,05/05/2021 15:33:42,0,0.0
171,05/05/2021 15:34:35,182,412.19999999998834
172,05/05/2021 15:35:28,134,351.39999999998963
173,05/05/2021 15:36:20,188,281.5999999999935
174,05/05/2021 15:37:11,126,236.59999999999457
175,05/05/2021 15:38:04,208,358.5999999999901
176,05/05/2021 15:38:57,173,427.9999999999865
177,05/05/2021 15:39:48,205,396.59999999998854
178,05/05/2021 15:40:41,113,335.3999999999897
179,05/05/2021 15:41:33,157,315.9999999999911
180,05/05/2021 15:42:26,194,297.7999999999919
181,05/05/2021 15:43:19,171,360.9999999999898
182,05/05/2021 15:43:45,8,13.999999999999972
